id,label,alt_labels,parent_id
SK0057,Teleconferencing software,teleconferencingsoftware,43233502
SK0063,Amazon Web Services AWS software,amazonwebservicesawssoftware,43232306
SK0074,Citrix cloud computing software,citrixcloudcomputingsoftware,43232901
SK0077,Customer information control system CICS,customerinformationcontrolsystemcics,43232313
SK0088,Geographic information system GIS software,geographicinformationsystemgissoftware,43232510
SK0136,Oracle E-Business Suite Financials,"oracle e business suite financials,oracle ebusiness suite financials,oraclee-businesssuitefinancials",43231604
SK0141,Oracle PeopleSoft Financials,oraclepeoplesoftfinancials,43231602
SK0148,PostgreSQL,,43232311
SK0165,Social media sites,socialmediasites,43232107
SK0184,Cisco AnyConnect,ciscoanyconnect,43232901
SK0185,Cisco Webex,ciscowebex,43233502
SK0189,Legislative Automative Workflow System LAWS,legislativeautomativeworkflowsystemlaws,43232306
SK0224,JavaScript,,43232408
SK0232,Social media software,socialmediasoftware,43232107
SK0253,Figma,,43232404
SK0254,GitHub,,43232701
SK0264,MySQL,,43232306
SK0268,Oracle JavaServer Pages JSP,oraclejavaserverpagesjsp,43232408
SK0271,Python,,43232405
SK0316,Incident command system ICS software,incidentcommandsystemicssoftware,43231507
SK0336,Cisco Systems WAN Manager,ciscosystemswanmanager,43232917
SK0340,Enterprise JavaBeans,enterprisejavabeans,43232408
SK0369,Node.js,"node,node js,nodejs",43232408
SK0373,Oracle Java,oraclejava,43232405
SK0391,Spring Framework,springframework,43232408
SK0414,Automatic Data Processing PC payroll for windows PCPW,automaticdataprocessingpcpayrollforwindowspcpw,43231505
SK0429,Financial accounting software,financialaccountingsoftware,43231601
SK0436,SunGard Financial Systems AddVantage,sungardfinancialsystemsaddvantage,43231604
SK0439,Citect IIM,citectiim,43232608
SK0443,Computer integrated manufacturing CIM software,computerintegratedmanufacturingcimsoftware,43232108
SK0444,Computer integrated manufacturing CIM time manager software,computerintegratedmanufacturingcimtimemanagersoftware,43231505
SK0445,Computer integrated manufacturing CIM warehouse shipping manager software,computerintegratedmanufacturingcimwarehouseshippingmanagersoftware,43231508
SK0451,Financial planning software,financialplanningsoftware,43231604
SK0480,Infinity QS ProFicient,infinityqsproficient,43232608
SK0496,Thermo Fisher Scientific Laboratory Information Management Systems LIMS,thermofisherscientificlaboratoryinformationmanagementsystemslims,43232605
SK0509,Infor Lawson Supply Chain Management,inforlawsonsupplychainmanagement,43231506
SK0511,Oracle PeopleSoft Enterprise Financial Management Solutions,oraclepeoplesoftenterprisefinancialmanagementsolutions,43231604
SK0546,Integrated Decision Support Corporation Expert Fuel,integrateddecisionsupportcorporationexpertfuel,43231506
SK0547,Integrated Decision Support Corporation Netwise Supply Chain,integrateddecisionsupportcorporationnetwisesupplychain,43231506
SK0548,Integrated Decision Support Corporation Route Advice,integrateddecisionsupportcorporationrouteadvice,43232504
SK0549,Integrated Decision Support Corporation Swap Advice,integrateddecisionsupportcorporationswapadvice,43231506
SK0550,Integrated Decision Support Match Advice,integrateddecisionsupportmatchadvice,43232605
SK0551,Integrated Decision Support Netwise Enterprise,integrateddecisionsupportnetwiseenterprise,43232605
